Video Title,Like Count,View Count,Comment Count,Subscriber Count,video_id,mean_sentiment
World’s Richest Youtuber!,3575178,87371758,6965,28000000,T2nzYFz028U,0.3899527
World's Most Expensive Big Mac!,1542494,49106589,9169,28000000,0RoQ3V26jYw,0.34867805
Most Viewed YouTube Video!,778944,16838470,1905,28000000,0Onuvef2Ul8,0.41692698
How Ramen Noodles Are Made!,1183577,29480353,2360,28000000,OT-xDbFQ4aY,0.39071777
Water Balloons in Slow Motion!,717575,41760906,20209,28000000,NhtPxMMOi4k,0.48315063
Impossible Try Not To Laugh Challenge!,722867,32949943,12322,28000000,b9_cx_pTaK0,0.49074203
Luckiest People Alive!,663900,43906798,8329,28000000,jgyTwWtvMdE,0.57033354
World's Most Dangerous Jobs!,828002,43718850,15475,28000000,OSXbYwoCc5Y,0.47844383
Real Life Super Humans!,588468,30765572,18951,28000000,_Nb_J9FMVJs,0.45371005
Extremely Satisfying Workers!,749346,43151782,13674,28000000,plTvQ1g59yM,0.5872256
TikTok Try Not To Laugh Challenge!,981282,49732232,17612,28000000,J8Oi3hMS5Zw,0.4380097
Extreme Try Not To Laugh Challenge!,940179,67119684,17410,28000000,KvIl8mjMTsE,0.49769178
Insane Parkour Escape!,640501,39625343,14632,28000000,d2k_vhqhe9g,0.46725
Extreme Rooftop Parkour Escape!,662439,34290435,37333,28000000,FsnvgkZsCwY,0.5219389
Weirdest Things On Amazon!,937933,41955079,19590,28000000,wUoxbm9MUc0,0.558382
Extreme Try Not To Laugh Challenge!,703433,46880259,9740,28000000,HR1ig6u9-6A,0.4416963
How Bubblegum Is Made!,550454,30993312,9413,28000000,8kWrN2bgvSA,0.5232167
World’s Longest Skate Jump!,479286,17702038,12492,28000000,ycI3n8M19Jk,0.44968984
World's Cutest Animals!,781990,45535179,15389,28000000,esDlUtMQmeU,0.52980757
What Can You Cut With Paper?,732196,48372025,11847,28000000,5s6iBACk-E4,0.49141008
World's Fastest Workers!,3656784,77040170,24902,28000000,Iu8ZmhRphSU,0.46644577
World's Unluckiest People!,646114,38962297,8682,28000000,GdL3bmxUNYs,0.5717115
Impossible 0.0000001% Odds!,530908,33881725,7027,28000000,bReHusqxnvw,0.50622267
iPhone Vs 8000 Feet Drop!,687211,39407469,10987,28000000,B5WUhJUog_M,0.46368748
World's Luckiest People!,1054027,75303319,16524,28000000,zySUlGXbXvA,0.55624557
Steel Bar Vs Shredder!,567735,32783854,8068,28000000,8uNEJBYGyFA,0.5433409
Extreme Try Not To Laugh Challenge!,1221657,59189374,20404,28000000,9jzUrudNUWo,0.4727144
Insane Water Slides!,724998,34538480,20104,28000000,0XeYtTS4zJ8,0.48317376
Insane Random Acts Of Kindness!,578598,36603519,9287,28000000,iCddOcxInWs,0.56764746
Extremely Satisfying Workers!,353845,21581346,6345,28000000,ZGNj5lOtNnI,0.53889054
Impossible 0.00001% Odds!,644267,49424399,7764,28000000,DvkTX-AquQo,0.5135826
World’s Sharpest Knife!,1067955,63770405,15999,28000000,ySXPnjStay4,0.5103771
Forging A Katana From Rusted Chain!,677836,44000395,18463,28000000,T_7X9Inu11I,0.44563174
100 Kids vs 1 Pro,833489,50864805,8928,28000000,fqq9TSkSe2U,0.4694026
World's Deepest Pool!,778239,47529015,14276,28000000,8F1J51GSPYY,0.480831
Rarest Pets Ever!,798656,52249934,15016,28000000,57tOReFC968,0.4527671
Real Vs Fake Commercials!,647124,44971076,7957,28000000,T906mp5kYfM,0.54033184
1000 Degree Ball vs Ice!,706577,49587116,15161,28000000,r0HOCD3ilpY,0.4507452
Inside an Ice Cream Factory!,1174430,52898841,24246,28000000,yzbeiFEUPNQ,0.45450976
100 Days Of Building!,822428,30232345,25475,28000000,vHfPJ1-ERIQ,0.47539675
World’s Largest Lighter!,633211,36043874,14972,28000000,pmUgsc48WXA,0.48900795
Most Insane Water Parks!,513679,25705504,21594,28000000,eKEs1KjvBPM,0.5439406
Car Vs 1000 Nails!,554388,28751561,16004,28000000,HjhYo55QKfQ,0.48991358
Impossible Magic Tricks!,515608,27057109,6403,28000000,7I0Qo9qlVlk,0.5660938
Unbelievable Mountain Coaster!,454823,19398282,10894,28000000,B40wUL-fN4M,0.5070063
Fastest Onion Ever Eaten!,290467,15214313,3977,28000000,C8HhPQ8qc1k,0.5467464
Extreme Try Not To Laugh Challenge!,773872,52590734,12374,28000000,L4KWhKY85cY,0.5555788
Most Dangerous Stunts Ever!,501575,26570557,7350,28000000,ZgxNvOhwNbU,0.5390474
Most Expensive Fails!,565906,29345528,6620,28000000,mEKGarAbyxk,0.49082834
World's Most Viewed TikToks!,1826598,67435989,29296,28000000,v9WSjE3tIkg,0.478688
World's Tallest Tower!,264453,5326019,12119,28000000,ykC7HZ1-FrQ,0.4557353
Most Dangerous Place On Earth!,659601,36213410,10640,28000000,e-Og20cYMv0,0.50809175
World’s Most Expensive Food!,1315797,61361826,67754,28000000,ooqdg9Wr-mo,0.47198266
Reacting To The World’s Most Satisfying Videos!,496518,30175671,17749,28000000,T1QUEKLNPtA,0.53345865
Stupid Things Billionaires Paid For!,556515,28850782,8268,28000000,9ridm0GeHRg,0.44844693
"$1 Burger vs $10,000 Burger!",712611,39991601,8216,28000000,Xzkzp2Y1t0o,0.49303046
World’s Most Insane Roller Coaster!,608994,23781218,29212,28000000,pnnbsciy1yI,0.5624776
Rarest Things On Earth!,512759,37777255,8733,28000000,1atCTSRJHH0,0.5357769
World's Largest Water Tunnel!,602120,25526458,13308,28000000,GDRcCvQNY-g,0.5032536
Unbelievable Places On Earth!,619176,36123216,13518,28000000,qFYcwbu-H-s,0.3687562
Bowling Ball vs 600 Feet Drop!,500168,20681130,13735,28000000,owP3zujYLWU,0.49188408
Most Dangerous Tourist Destinations!,974621,60287876,19019,28000000,0OnHP2tlTU0,0.48753646
Extreme Try Not To Laugh Challenge!,854193,43928411,9740,28000000,Q-Kc5EfIRlk,0.50867313
Extreme Moments Before Disaster!,644370,42728306,9783,28000000,5orcB4yyjoU,0.44617736
