Video Title,Like Count,View Count,Comment Count,Subscriber Count
World’s Richest Youtuber!,3575178,87371758,6965,28000000
World's Most Expensive Big Mac!,1542494,49106589,9169,28000000
Most Viewed YouTube Video!,778944,16838470,1905,28000000
How Ramen Noodles Are Made!,1183577,29480353,2360,28000000
Water Balloons in Slow Motion!,717575,41760906,20209,28000000
Impossible Try Not To Laugh Challenge!,722867,32949943,12322,28000000
Luckiest People Alive!,663900,43906798,8329,28000000
World's Most Dangerous Jobs!,828002,43718850,15475,28000000
Real Life Super Humans!,588468,30765572,18951,28000000
Extremely Satisfying Workers!,749346,43151782,13674,28000000
TikTok Try Not To Laugh Challenge!,981282,49732232,17612,28000000
Extreme Try Not To Laugh Challenge!,940179,67119684,17410,28000000
Insane Parkour Escape!,640501,39625343,14632,28000000
Extreme Rooftop Parkour Escape!,662439,34290435,37333,28000000
Weirdest Things On Amazon!,937933,41955079,19590,28000000
Extreme Try Not To Laugh Challenge!,703433,46880259,9740,28000000
How Bubblegum Is Made!,550454,30993312,9413,28000000
World’s Longest Skate Jump!,479286,17702038,12492,28000000
World's Cutest Animals!,781990,45535179,15389,28000000
What Can You Cut With Paper?,732196,48372025,11847,28000000
World's Fastest Workers!,3656784,77040170,24902,28000000
World's Unluckiest People!,646114,38962297,8682,28000000
Impossible 0.0000001% Odds!,530908,33881725,7027,28000000
iPhone Vs 8000 Feet Drop!,687211,39407469,10987,28000000
World's Luckiest People!,1054027,75303319,16524,28000000
Steel Bar Vs Shredder!,567735,32783854,8068,28000000
Extreme Try Not To Laugh Challenge!,1221657,59189374,20404,28000000
Insane Water Slides!,724998,34538480,20104,28000000
Insane Random Acts Of Kindness!,578598,36603519,9287,28000000
Extremely Satisfying Workers!,353845,21581346,6345,28000000
Impossible 0.00001% Odds!,644267,49424399,7764,28000000
World’s Sharpest Knife!,1067955,63770405,15999,28000000
Forging A Katana From Rusted Chain!,677836,44000395,18463,28000000
100 Kids vs 1 Pro,833489,50864805,8928,28000000
World's Deepest Pool!,778239,47529015,14276,28000000
Rarest Pets Ever!,798656,52249934,15016,28000000
Real Vs Fake Commercials!,647124,44971076,7957,28000000
1000 Degree Ball vs Ice!,706577,49587116,15161,28000000
Inside an Ice Cream Factory!,1174430,52898841,24246,28000000
100 Days Of Building!,822428,30232345,25475,28000000
World’s Largest Lighter!,633211,36043874,14972,28000000
Most Insane Water Parks!,513679,25705504,21594,28000000
Car Vs 1000 Nails!,554388,28751561,16004,28000000
Impossible Magic Tricks!,515608,27057109,6403,28000000
Unbelievable Mountain Coaster!,454823,19398282,10894,28000000
Fastest Onion Ever Eaten!,290467,15214313,3977,28000000
Extreme Try Not To Laugh Challenge!,773872,52590734,12374,28000000
Most Dangerous Stunts Ever!,501575,26570557,7350,28000000
Most Expensive Fails!,565906,29345528,6620,28000000
World's Most Viewed TikToks!,1826598,67435989,29296,28000000
World's Tallest Tower!,264453,5326019,12119,28000000
Most Dangerous Place On Earth!,659601,36213410,10640,28000000
World’s Most Expensive Food!,1315797,61361826,67754,28000000
Reacting To The World’s Most Satisfying Videos!,496518,30175671,17749,28000000
Stupid Things Billionaires Paid For!,556515,28850782,8268,28000000
"$1 Burger vs $10,000 Burger!",712611,39991601,8216,28000000
World’s Most Insane Roller Coaster!,608994,23781218,29212,28000000
Rarest Things On Earth!,512759,37777255,8733,28000000
World's Largest Water Tunnel!,602120,25526458,13308,28000000
Unbelievable Places On Earth!,619176,36123216,13518,28000000
Bowling Ball vs 600 Feet Drop!,500168,20681130,13735,28000000
Most Dangerous Tourist Destinations!,974621,60287876,19019,28000000
Extreme Try Not To Laugh Challenge!,854193,43928411,9740,28000000
Extreme Moments Before Disaster!,644370,42728306,9783,28000000
"100,000 Magnetic Balls In Slow Motion!",674605,40845396,10024,28000000
Most Expensive Houses!,1183896,54778209,35105,28000000
Funniest Fails On The Internet!,299493,14189065,3753,28000000
Most Extreme Collections!,646006,42209885,7417,28000000
Most Dangerous Animals!,491385,31635020,6577,28000000
Most Expensive iPhone!,1000535,62649007,12618,28000000
Most Expensive Fails!,501882,24992826,7806,28000000
Lamborghini Made From Cardboard!,707697,36481699,33779,28000000
Unluckiest People In The World!,466517,29120539,8589,28000000
Impossible Moments Caught On Camera!,384655,21656114,3818,28000000
World's Fastest Workers!,1024332,58338843,20460,28000000
Insane Cake Cutting!,825013,33008420,22601,28000000
Hydraulic Press vs 1000 Sheets Of Paper,821951,42273439,17616,28000000
World's Largest Oreo!,980014,46345166,14463,28000000
Insane BMX Downhill!,965405,64892609,16857,28000000
Most Popular TikToks!,454149,23215442,5261,28000000
People With Amazing Talent!,656839,40829883,8872,28000000
Most Skilled Workers In The World!,531039,34380611,8382,28000000
Most Heavily Guarded Homes On Earth!,599352,26693075,14547,28000000
Most Expensive Luxury Items!,832494,52724398,17215,28000000
Insane Waterpark BMX!,421022,30195510,7525,28000000
Cycling On Ice!,564091,17355631,11847,28000000
Moments Before Disaster!,892872,65296236,13232,28000000
Most Expensive Airplane Ticket!,730954,38502338,12552,28000000
"Jumping from 128,000 Feet!",402026,16358228,10754,28000000
